Table 6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,City of Alexandria,46630,732,9,16,132,575,4180,892,3056,232
,Total area actually reporting,0.825,1172,14,67,159,932,6428,1584,4460,384
,Estimated total,1,1291,16,71,165,1039,6900,1682,4805,413
,"Rate per 100,000 inhabitants",,849.2,10.5,46.7,108.5,683.4,4538.7,1106.4,3160.7,271.7
"Altoona, PA M.S.A.",,121762, ,,,,, ,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,43429,264,0,83,22,159,675,142,481,52
,Total area actually reporting,1,406,1,111,33,261,1510,271,1163,76
,"Rate per 100,000 inhabitants",,333.4,0.8,91.2,27.1,214.4,1240.1,222.6,955.1,62.4
"Amarillo, TX M.S.A.",,266054, ,,,,, ,,,
,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,201036,1447,15,161,246,1025,7835,1439,5425,971
,Total area actually reporting,0.999,1584,16,194,257,1117,8578,1650,5862,1066
,Estimated total,1,1584,16,194,257,1117,8579,1650,5863,1066
,"Rate per 100,000 inhabitants",,595.4,6,72.9,96.6,419.8,3224.5,620.2,2203.7,400.7
"Ames, IA M.S.A.",,124947, ,,,,, ,,,
,Includes Boone and Story Counties,,,,,,,,,,
,City of Ames,68237,135,1,44,21,69,1171,138,975,58
,Total area actually reporting,1,249,2,64,22,161,1745,256,1381,108
,"Rate per 100,000 inhabitants",,199.3,1.6,51.2,17.6,128.9,1396.6,204.9,1105.3,86.4
"Anchorage, AK M.S.A.",,306136, ,,,,, ,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,287731,3581,32,540,621,2388,12261,1692,9038,1531
,Total area actually reporting,1,3657,34,546,638,2439,13222,1837,9766,1619
,"Rate per 100,000 inhabitants",,1194.6,11.1,178.4,208.4,796.7,4319,600.1,3190.1,528.8
"Ann Arbor, MI M.S.A.",,373308, ,,,,, ,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,122893,309,2,77,46,184,2124,197,1789,138
,Total area actually reporting,1,1327,8,250,143,926,6159,743,4940,476
,"Rate per 100,000 inhabitants",,355.5,2.1,67,38.3,248.1,1649.8,199,1323.3,127.5
"Appleton, WI M.S.A.3",,238721, ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,74757,206,2,32,23,149,1073,107,910,56
,Total area actually reporting,0.974,384,4,80,26,274,2497,259,2104,134
,Estimated total,1,392,4,82,27,279,2599,266,2195,138
,"Rate per 100,000 inhabitants",,164.2,1.7,34.3,11.3,116.9,1088.7,111.4,919.5,57.8
"Asheville, NC M.S.A.3",,463796, ,,,,, ,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties3",,,,,,,,,,
,City of Asheville3,93641,695,6,59,163,467,5923,833,4552,538
,Total area actually reporting,0.768,1221,12,116,215,878,11093,2373,7709,1011
,Estimated total,1,1466,15,144,241,1066,12815,2898,8760,1157
,"Rate per 100,000 inhabitants",,316.1,3.2,31,52,229.8,2763.1,624.8,1888.8,249.5
"Atlantic City-Hammonton, NJ M.S.A.",,263100, ,,,,, ,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City,37593,323,11,29,182,101,1738,130,1519,89
,City of Hammonton,14003,25,0,1,4,20,115,25,78,12
,Total area actually reporting,1,672,13,49,272,338,6314,857,5174,283
,"Rate per 100,000 inhabitants",,255.4,4.9,18.6,103.4,128.5,2399.8,325.7,1966.6,107.6
"Augusta-Richmond County, GA-SC M.S.A.3",,609036, ,,,,, ,,,
,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA3 and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,0.965,2085,47,177,404,1457,14629,2456,10994,1179
,Estimated total,1,2199,49,186,411,1553,15097,2580,11292,1225
,"Rate per 100,000 inhabitants",,361.1,8,30.5,67.5,255,2478.8,423.6,1854.1,201.1
"Austin-Round Rock-Georgetown, TX M.S.A.3",,2217312,,,,,,,,,
,"Includes Bastrop, Caldwell,3 Hays, Travis,3 and Williamson Counties",, ,,,,,,,,
,City of Austin3,986062,3953,32,534,971,2416,36588,4344,29216,3028
,City of Round Rock,132747,165,3,21,51,90,2235,165,2017,53
,City of Georgetown,78332,81,0,25,8,48,730,103,586,41
,City of San Marcos,66279,241,8,78,26,129,1530,228,1176,126
,Total area actually reporting,0.999,6359,56,1071,1261,3971,53424,6954,42248,4222
,Estimated total,1,6361,56,1071,1261,3973,53442,6958,42260,4224
,"Rate per 100,000 inhabitants",,286.9,2.5,48.3,56.9,179.2,2410.2,313.8,1905.9,190.5
"Bakersfield, CA M.S.A.",,896356, ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,388080,1766,34,116,701,915,16074,3888,9277,2909
,Total area actually reporting,1,5567,84,455,1238,3790,29604,7595,16126,5883
,"Rate per 100,000 inhabitants",,621.1,9.4,50.8,138.1,422.8,3302.7,847.3,1799.1,656.3
"Baltimore-Columbia-Towson, MD M.S.A.",,2800231,,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,597239,11101,348,324,4856,5573,25748,5414,16395,3939
,Total area actually reporting,1,19564,434,1025,6797,11308,66044,10213,49114,6717
,"Rate per 100,000 inhabitants",,698.7,15.5,36.6,242.7,403.8,2358.5,364.7,1753.9,239.9
"Bangor, ME M.S.A.",,151245, ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,31872,35,1,1,15,18,1168,64,1076,28
,Total area actually reporting,1,67,1,7,20,39,2355,221,2060,74
,"Rate per 100,000 inhabitants",,44.3,0.7,4.6,13.2,25.8,1557.1,146.1,1362,48.9
"Barnstable Town, MA M.S.A.",,211470, ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,44032,178,2,22,14,140,425,61,350,14
,Total area actually reporting,1,691,2,113,29,547,2017,401,1542,74
,"Rate per 100,000 inhabitants",,326.8,0.9,53.4,13.7,258.7,953.8,189.6,729.2,35
"Baton Rouge, LA M.S.A.",,852152, ,,,,, ,,,
,"Includes Ascension, Assumption, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
,City of Baton Rouge,220648,2066,70,52,645,1299,11673,2258,8616,799
,Total area actually reporting,0.988,4679,120,240,912,3407,27976,4599,21713,1664
,Estimated total,1,4721,120,241,915,3445,28266,4661,21926,1679
,"Rate per 100,000 inhabitants",,554,14.1,28.3,107.4,404.3,3317,547,2573,197
"Battle Creek, MI M.S.A.4",,133965, ,,,,, ,,,
,Includes Calhoun County,,,,,,,,,,
,City of Battle Creek,60607,568,5,60,67,436,1969,460,1377,132
,Total area actually reporting,0.999,836,6,108,91,631,,,2733,227
,Estimated total,1,836,6,108,91,631,,,2733,227
,"Rate per 100,000 inhabitants",,624,4.5,80.6,67.9,471,,,2040.1,169.4
"Bay City, MI M.S.A.",,103201, ,,,,, ,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,32793,271,2,35,20,214,654,135,476,43
,Total area actually reporting,1,396,3,78,29,286,1295,266,944,85
,"Rate per 100,000 inhabitants",,383.7,2.9,75.6,28.1,277.1,1254.8,257.7,914.7,82.4
"Beaumont-Port Arthur, TX M.S.A.3",,394118,,,,,,,,,
,"Includes Hardin, Jefferson, and Orange Counties",, ,,,,,,,,
,City of Beaumont,118562,1241,19,97,323,802,4287,950,2999,338
,City of Port Arthur3,55084,344,9,29,84,222,1203,326,757,120
,Total area actually reporting,0.999,2132,34,186,465,1447,8637,2006,5794,837
,Estimated total,1,2133,34,186,465,1448,8644,2007,5799,838
,"Rate per 100,000 inhabitants",,541.2,8.6,47.2,118,367.4,2193.3,509.2,1471.4,212.6
"Bellingham, WA M.S.A",,228098, ,,,,, ,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,91906,251,4,28,61,158,2689,323,2251,115
,Total area actually reporting,1,502,9,100,78,315,4792,821,3744,227
,"Rate per 100,000 inhabitants",,220.1,3.9,43.8,34.2,138.1,2100.9,359.9,1641.4,99.5
"Bend, OR M.S.A.",,195856, ,,,,, ,,,
,Includes Deschutes County,,,,,,,,,,
,City of Bend,100588,154,0,30,21,103,1919,135,1678,106
,Total area actually reporting,1,324,1,57,31,235,3763,341,3169,253
,"Rate per 100,000 inhabitants",,165.4,0.5,29.1,15.8,120,1921.3,174.1,1618,129.2
"Billings, MT M.S.A.4",,181514, ,,,,, ,,,
,"Includes Carbon, Stillwater, and Yellowstone Counties",,,,,,,,,,
,City of Billings4,110198,,,75,98,499,4499,608,3266,625
,Total area actually reporting,1,,,103,106,679,5468,721,4008,739
,"Rate per 100,000 inhabitants",,,,56.7,58.4,374.1,3012.4,397.2,2208.1,407.1
"Binghamton, NY M.S.A.",,237535, ,,,,, ,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,44475,355,2,42,66,245,1907,417,1429,61
,Total area actually reporting,0.994,678,6,171,108,393,4762,801,3809,152
,Estimated total,1,678,6,171,108,393,4773,802,3819,152
,"Rate per 100,000 inhabitants",,285.4,2.5,72,45.5,165.4,2009.4,337.6,1607.8,64
"Bismarck, ND M.S.A.",,128869, ,,,,, ,,,
,"Includes Burleigh, Morton, and Oliver Counties",,,,,,,,,,
,City of Bismarck,74705,228,1,64,36,127,2079,225,1647,207
,Total area actually reporting,1,394,5,104,44,241,2983,340,2295,348
,"Rate per 100,000 inhabitants",,305.7,3.9,80.7,34.1,187,2314.8,263.8,1780.9,270
"Blacksburg-Christiansburg, VA M.S.A.",,167936,,,,,,,,,
,"Includes Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,44948,50,0,26,1,23,275,38,228,9
,City of Christiansburg,22700,31,0,7,4,20,466,28,424,14
,Total area actually reporting,1,323,2,106,20,195,2781,332,2311,138
,"Rate per 100,000 inhabitants",,192.3,1.2,63.1,11.9,116.1,1656,197.7,1376.1,82.2
"Bloomington, IL M.S.A.",,172429,,,,,,,,,
,Includes McLean County,, ,,,,,,,,
,City of Bloomington,78107,387,1,49,57,280,1096,171,851,74
,Total area actually reporting,0.971,601,3,115,82,401,2312,324,1851,137
,Estimated total,1,610,3,117,83,407,2385,334,1909,142
,"Rate per 100,000 inhabitants",,353.8,1.7,67.9,48.1,236,1383.2,193.7,1107.1,82.4
"Boise City, ID M.S.A.",,749238,,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,231314,649,4,164,44,437,3653,470,2952,231
,Total area actually reporting,0.996,1874,10,436,83,1345,9275,1507,7063,705
,Estimated total,1,1880,10,437,83,1350,9310,1513,7089,708
,"Rate per 100,000 inhabitants",,250.9,1.3,58.3,11.1,180.2,1242.6,201.9,946.2,94.5
"Boston-Cambridge-Newton, MA-NH M.S.A.3, 5",,4880689,,,,,,,,,
,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA3, 5",698941,4244,42,231,1039,2932,,1703,10590,
,"City of Cambridge, MA",119908,334,1,26,67,240,1983,161,1724,98
,"City of Newton, MA",88658,49,0,4,10,35,510,75,424,11
,"City of Framingham, MA",73127,297,1,20,29,247,800,158,609,33
,"City of Waltham, MA",62737,102,0,13,7,82,512,70,420,22
,Total area actually reporting,0.988,13450,93,1253,2328,9776,,6767,43000,
,Estimated total,1,13556,93,1270,2333,9860,,6840,43333,
,"Rate per 100,000 inhabitants",,277.7,1.9,26,47.8,202,,140.1,887.8,
"Boston, MA M.D.3, 5",,2032861,,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,0.987,8008,61,625,1595,5727,,3351,21175,
,Estimated total,1,8057,61,633,1598,5765,,3384,21322,
,"Rate per 100,000 inhabitants",,396.3,3,31.1,78.6,283.6,,166.5,1048.9,
"Cambridge-Newton-Framingham, MA M.D.3",,2406489,,,,,,,,,
,Includes Essex and Middlesex Counties,,,,,,,,,,
,Total area actually reporting,0.986,5008,27,485,680,3816,22303,2934,17780,1589
,Estimated total,1,5065,27,494,682,3862,22543,2974,17966,1603
,"Rate per 100,000 inhabitants",,210.5,1.1,20.5,28.3,160.5,936.8,123.6,746.6,66.6
"Rockingham County-Strafford County, NH M.D.",,441339,,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,1,434,5,143,53,233,4770,482,4045,243
,"Rate per 100,000 inhabitants",,98.3,1.1,32.4,12,52.8,1080.8,109.2,916.5,55.1
"Boulder, CO M.S.A.",,328673, ,,,,, ,,,
,Includes Boulder County,,,,,,,,,,
,City of Boulder,108519,278,1,41,37,199,3284,405,2628,251
,Total area actually reporting,1,895,3,224,83,585,8038,999,6341,698
,"Rate per 100,000 inhabitants",,272.3,0.9,68.2,25.3,178,2445.6,303.9,1929.3,212.4
"Bowling Green, KY M.S.A.",,179183, ,,,,, ,,,
,"Includes Allen, Butler, Edmonson, and Warren Counties",,,,,,,,,,
,City of Bowling Green,69627,203,4,63,55,81,3250,386,2610,254
,Total area actually reporting,1,275,6,85,62,122,4188,645,3184,359
,"Rate per 100,000 inhabitants",,153.5,3.3,47.4,34.6,68.1,2337.3,360,1777,200.4
"Bremerton-Silverdale-Port Orchard, WA M.S.A.",,271215,,,,,,,,,
,Includes Kitsap County,, ,,,,,,,,
,City of Bremerton,41675,168,1,26,34,107,1358,234,984,140
,City of Port Orchard,14684,66,0,7,14,45,492,74,376,42
,Total area actually reporting,1,709,4,157,81,467,5392,989,3944,459
,"Rate per 100,000 inhabitants",,261.4,1.5,57.9,29.9,172.2,1988.1,364.7,1454.2,169.2
"Bridgeport-Stamford-Norwalk, CT M.S.A.",,929479,,,,,,,,,
,Includes Fairfield County,,,,,,,,,,
,City of Bridgeport,144908,843,17,71,392,363,2465,555,1292,618
,City of Stamford,130678,264,5,27,87,145,1803,196,1446,161
,City of Norwalk,89440,183,1,8,29,145,1247,133,989,125
,City of Danbury,85167,97,1,15,28,53,1045,132,827,86
,City of Stratford,52034,71,1,13,25,32,859,97,654,108
,Total area actually reporting,1,1619,28,162,609,820,11232,1542,8325,1365
,"Rate per 100,000 inhabitants",,174.2,3,17.4,65.5,88.2,1208.4,165.9,895.7,146.9
"Brownsville-Harlingen, TX M.S.A.3",,423309,,,,,,,,,
,Includes Cameron County,, ,,,,,,,,
,City of Brownsville,184418,776,0,82,143,551,4553,631,3801,121
,City of Harlingen,65481,273,0,54,54,165,3152,443,2613,96
,Total area actually reporting,1,1588,4,233,236,1115,10705,1670,8682,353
,"Rate per 100,000 inhabitants",,375.1,0.9,55,55.8,263.4,2528.9,394.5,2051,83.4
"Buffalo-Cheektowaga, NY M.S.A.",,1123277,,,,,,,,,
,Includes Erie and Niagara Counties,,,,,,,,,,
,City of Buffalo,255686,2533,47,121,802,1563,8298,1610,6009,679
,City of Cheektowaga Town,76821,187,2,15,57,113,2153,208,1856,89
,Total area actually reporting,0.982,3962,60,329,1130,2443,20762,3051,16504,1207
,Estimated total,1,3980,60,332,1133,2455,20987,3073,16699,1215
,"Rate per 100,000 inhabitants",,354.3,5.3,29.6,100.9,218.6,1868.4,273.6,1486.6,108.2
"Burlington, NC M.S.A.3",,168317, ,,,,, ,,,
,Includes Alamance County3,,,,,,,,,,
,City of Burlington3,54108,460,10,42,66,342,2490,534,1815,141
,Total area actually reporting,0.91,631,13,60,88,470,3926,895,2804,227
,Estimated total,1,686,14,66,98,508,4443,993,3196,254
,"Rate per 100,000 inhabitants",,407.6,8.3,39.2,58.2,301.8,2639.7,590,1898.8,150.9
"Burlington-South Burlington, VT M.S.A.",,221448,,,,,,,,,
,"Includes Chittenden, Franklin, and Grand Isle Counties",, ,,,,, ,,,
,City of Burlington,42958,174,2,41,13,118,1110,109,976,25
,City of South Burlington,19687,22,0,6,4,12,687,32,647,8
,Total area actually reporting,1,444,5,114,32,293,3786,406,3284,96
,"Rate per 100,000 inhabitants",,200.5,2.3,51.5,14.5,132.3,1709.7,183.3,1483,43.4
"California-Lexington Park, MD M.S.A.",,112993,,,,,,,,,
,Includes St. Mary's County,, ,,,,,,,,
,Total area actually reporting,1,231,1,29,46,155,1880,333,1476,71
,"Rate per 100,000 inhabitants",,204.4,0.9,25.7,40.7,137.2,1663.8,294.7,1306.3,62.8
"Canton-Massillon, OH M.S.A.",,397244,,,,,,,,,
,Includes Carroll and Stark Counties,, ,,,,,,,,
,City of Canton,70139,981,6,135,188,652,3712,962,2429,321
,City of Massillon,32433,72,1,26,14,31,743,116,610,17
,Total area actually reporting,0.969,1328,9,239,236,844,8608,1918,6128,562
,Estimated total,1,1345,9,242,239,855,8832,1946,6313,573
,"Rate per 100,000 inhabitants",,338.6,2.3,60.9,60.2,215.2,2223.3,489.9,1589.2,144.2
"Cape Coral-Fort Myers, FL M.S.A.",,767771,,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Cape Coral,194183,226,5,16,36,169,2176,274,1739,163
,City of Fort Myers,85127,486,9,34,94,349,1952,245,1553,154
,Total area actually reporting,1,1979,23,246,386,1324,8890,1343,6792,755
,"Rate per 100,000 inhabitants",,257.8,3,32,50.3,172.4,1157.9,174.9,884.6,98.3
"Cape Girardeau, MO-IL M.S.A.",,96976,,,,,,,,,
,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO",, ,,,,,,,,
,"City of Cape Girardeau, MO",40077,233,6,24,46,157,1432,215,1145,72
,Total area actually reporting,0.978,370,7,32,46,285,2027,378,1540,109
,Estimated total,1,373,7,33,46,287,2060,383,1566,111
,"Rate per 100,000 inhabitants",,384.6,7.2,34,47.4,295.9,2124.2,394.9,1614.8,114.5
"Carson City, NV M.S.A.",,55491, ,,,,, ,,,
,Includes Carson City,,,,,,,,,,
,Total area actually reporting,1,193,0,47,11,135,711,152,487,72
,"Rate per 100,000 inhabitants",,347.8,0,84.7,19.8,243.3,1281.3,273.9,877.6,129.8
"Casper, WY M.S.A.",,79489, ,,,,, ,,,
,Includes Natrona County,,,,,,,,,,
,City of Casper,57752,169,2,58,18,91,1677,285,1271,121
,Total area actually reporting,1,227,2,68,25,132,1966,370,1441,155
,"Rate per 100,000 inhabitants",,285.6,2.5,85.5,31.5,166.1,2473.3,465.5,1812.8,195
"Cedar Rapids, IA M.S.A.",,272728, ,,,,, ,,,
,"Includes Benton, Jones, and Linn Counties",,,,,,,,,,
,City of Cedar Rapids,134007,345,2,27,83,233,4470,837,3268,365
,Total area actually reporting,0.991,505,2,56,89,358,5498,1077,3947,474
,Estimated total,1,514,2,57,90,365,5566,1091,3994,481
,"Rate per 100,000 inhabitants",,188.5,0.7,20.9,33,133.8,2040.9,400,1464.5,176.4
"Champaign-Urbana, IL M.S.A.",,226393,,,,,,,,,
,Includes Champaign and Piatt Counties,, ,,,,,,,,
,City of Champaign,88891,827,2,73,94,658,2203,300,1777,126
,City of Urbana,42080,124,1,30,36,57,1090,161,890,39
,Total area actually reporting,0.992,1098,3,158,156,781,4482,735,3533,214
,Estimated total,1,1099,3,158,156,782,4507,739,3553,215
,"Rate per 100,000 inhabitants",,485.4,1.3,69.8,68.9,345.4,1990.8,326.4,1569.4,95
"Charleston-North Charleston, SC M.S.A.",,804618, ,,,,, ,,,
,"Includes Berkeley, Charleston, and Dorchester Counties",,,,,,,,,,
,City of Charleston,138254,516,8,51,95,362,3124,292,2335,497
,City of North Charleston,115312,1114,26,103,229,756,6941,853,5123,965
,Total area actually reporting,0.99,3148,72,328,497,2251,21218,3031,15573,2614
,Estimated total,1,3202,72,333,502,2295,21554,3084,15835,2635
,"Rate per 100,000 inhabitants",,398,8.9,41.4,62.4,285.2,2678.8,383.3,1968,327.5
"Charlottesville, VA M.S.A.",,219120, ,,,,, ,,,
,"Includes Albemarle, Buckingham, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,
,City of Charlottesville,48453,157,0,32,22,103,1124,122,924,78
,Total area actually reporting,1,385,5,102,38,240,3104,314,2617,173
,"Rate per 100,000 inhabitants",,175.7,2.3,46.5,17.3,109.5,1416.6,143.3,1194.3,79
"Chattanooga, TN-GA M.S.A.3",,564924, ,,,,, ,,,
,"Includes Catoosa, Dade, and Walker Counties, GA3 and Hamilton, Marion, and Sequatchie Counties, TN",,,,,,,,,,
,"City of Chattanooga, TN",181848,1946,33,161,196,1556,10106,1098,7694,1314
,Total area actually reporting,0.971,2914,36,237,250,2391,16071,2098,12059,1914
,Estimated total,1,2969,36,242,255,2436,16332,2150,12244,1938
,"Rate per 100,000 inhabitants",,525.6,6.4,42.8,45.1,431.2,2891,380.6,2167.4,343.1
"Chico, CA M.S.A.",,230749, ,,,,, ,,,
,Includes Butte County,,,,,,,,,,
,City of Chico,95826,557,0,100,104,353,2406,272,1753,381
,Total area actually reporting,1,1024,7,180,167,670,5322,1111,3343,868
,"Rate per 100,000 inhabitants",,443.8,3,78,72.4,290.4,2306.4,481.5,1448.8,376.2
"Cincinnati, OH-KY-IN M.S.A.",,2217647,,,,,,,,,
,"Includes Dearborn, Franklin, Ohio, and Union Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",,,,,,,,,,
,"City of Cincinnati, OH",303335,2562,64,280,872,1346,13051,2765,8935,1351
,Total area actually reporting,0.898,4923,90,872,1438,2523,40924,6551,31014,3359
,Estimated total,1,5264,92,931,1486,2755,43841,7067,33240,3534
,"Rate per 100,000 inhabitants",,237.4,4.1,42,67,124.2,1976.9,318.7,1498.9,159.4
"Clarksville, TN-KY M.S.A.",,309897, ,,,,, ,,,
,"Includes Christian and Trigg Counties, KY and Montgomery and Stewart Counties, TN",,,,,,,,,,
,"City of Clarksville, TN",159996,926,14,103,116,693,4467,543,3457,467
,Total area actually reporting,1,1201,21,150,151,879,7005,1145,5176,684
,"Rate per 100,000 inhabitants",,387.5,6.8,48.4,48.7,283.6,2260.4,369.5,1670.2,220.7
"Cleveland, TN M.S.A.",,124685, ,,,,, ,,,
,Includes Bradley and Polk Counties,,,,,,,,,,
,City of Cleveland,45453,464,2,35,42,385,2403,371,1845,187
,Total area actually reporting,1,698,3,52,57,586,3564,626,2577,361
,"Rate per 100,000 inhabitants",,559.8,2.4,41.7,45.7,470,2858.4,502.1,2066.8,289.5
"Cleveland-Elyria, OH M.S.A.2, 3",,2051044,,,,,,,,,
,"Includes Cuyahoga, Geauga, Lake, Lorain, and Medina Counties",, ,,,,,,,,
,City of Cleveland,381829,5791,92,479,1895,3325,17057,4311,9968,2778
,City of Elyria,53806,137,4,35,37,61,921,207,665,49
,Total area actually reporting,0.868,7897,119,748,2387,4643,33474,6909,22694,3871
,Estimated total,1,8271,122,841,2472,4836,37974,7473,26422,4079
,"Rate per 100,000 inhabitants",,403.3,5.9,41,120.5,235.8,1851.4,364.4,1288.2,198.9
"Coeur d'Alene, ID M.S.A.",,165319,,,,,,,,,
,Includes Kootenai County,, ,,,,,,,,
,City of Coeur d'Alene,52256,132,0,38,8,86,712,83,579,50
,Total area actually reporting,1,362,1,68,16,277,2099,338,1627,134
,"Rate per 100,000 inhabitants",,219,0.6,41.1,9.7,167.6,1269.7,204.5,984.2,81.1
"College Station-Bryan, TX M.S.A.3",,265223,,,,,,,,,
,"Includes Brazos, Burleson, and Robertson Counties",, ,,,,,,,,
,City of College Station3,119246,225,1,48,43,133,2098,391,1529,178
,City of Bryan,86632,370,2,90,57,221,1928,336,1444,148
,Total area actually reporting,0.994,693,5,164,111,413,5204,999,3798,407
,Estimated total,1,696,5,164,111,416,5228,1004,3814,410
,"Rate per 100,000 inhabitants",,262.4,1.9,61.8,41.9,156.8,1971.2,378.5,1438,154.6
"Colorado Springs, CO M.S.A.",,747633, ,,,,, ,,,
,Includes El Paso and Teller Counties,,,,,,,,,,
,City of Colorado Springs,479648,2806,23,431,485,1867,17587,2400,12095,3092
,Total area actually reporting,0.985,3464,33,579,550,2302,20970,2945,14380,3645
,Estimated total,1,3482,33,582,554,2313,21290,2972,14645,3673
,"Rate per 100,000 inhabitants",,465.7,4.4,77.8,74.1,309.4,2847.7,397.5,1958.8,491.3
