Metropolitan Statistical Area,,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,,100.0%," 1,291 ", 16 , 71 , 165 ," 1,039 "," 6,900 "," 1,682 "," 4,805 ", 413 
,,,849.2,10.5,46.7,108.5,683.4,"4,538.7","1,106.4","3,160.7",271.7
"Altoona, PA M.S.A.",,"121,762", ,,,,, ,,,
,,,,,,,,,,,
,,"43,429", 264 , 0 , 83 , 22 , 159 , 675 , 142 , 481 , 52 
,,100.0%, 406 , 1 , 111 , 33 , 261 ," 1,510 ", 271 ," 1,163 ", 76 
,,,333.4,0.8,91.2,27.1,214.4,"1,240.1",222.6,955.1,62.4
"Amarillo, TX M.S.A.",,"266,054", ,,,,, ,,,
,,,,,,,,,,,
,,"201,036"," 1,447 ", 15 , 161 , 246 ," 1,025 "," 7,835 "," 1,439 "," 5,425 ", 971 
,,99.9%," 1,584 ", 16 , 194 , 257 ," 1,117 "," 8,578 "," 1,650 "," 5,862 "," 1,066 "
,,100.0%," 1,584 ", 16 , 194 , 257 ," 1,117 "," 8,579 "," 1,650 "," 5,863 "," 1,066 "
,,,595.4,6.0,72.9,96.6,419.8,"3,224.5",620.2,"2,203.7",400.7
"Ames, IA M.S.A.",,"124,947", ,,,,, ,,,
,,,,,,,,,,,
,,"68,237", 135 , 1 , 44 , 21 , 69 ," 1,171 ", 138 , 975 , 58 
,,100.0%, 249 , 2 , 64 , 22 , 161 ," 1,745 ", 256 ," 1,381 ", 108 
,,,199.3,1.6,51.2,17.6,128.9,"1,396.6",204.9,"1,105.3",86.4
"Anchorage, AK M.S.A.",,"306,136", ,,,,, ,,,
,,,,,,,,,,,
,,"287,731"," 3,581 ", 32 , 540 , 621 ," 2,388 "," 12,261 "," 1,692 "," 9,038 "," 1,531 "
,,100.0%," 3,657 ", 34 , 546 , 638 ," 2,439 "," 13,222 "," 1,837 "," 9,766 "," 1,619 "
,,,"1,194.6",11.1,178.4,208.4,796.7,"4,319.0",600.1,"3,190.1",528.8
"Ann Arbor, MI M.S.A.",,"373,308", ,,,,, ,,,
,,,,,,,,,,,
,,"122,893", 309 , 2 , 77 , 46 , 184 ," 2,124 ", 197 ," 1,789 ", 138 
,,100.0%," 1,327 ", 8 , 250 , 143 , 926 ," 6,159 ", 743 ," 4,940 ", 476 
,,,355.5,2.1,67.0,38.3,248.1,"1,649.8",199.0,"1,323.3",127.5
"Appleton, WI M.S.A.3",,"238,721", ,,,,, ,,,
,,,,,,,,,,,
,,"74,757", 206 , 2 , 32 , 23 , 149 ," 1,073 ", 107 , 910 , 56 
,,97.4%, 384 , 4 , 80 , 26 , 274 ," 2,497 ", 259 ," 2,104 ", 134 
,,100.0%, 392 , 4 , 82 , 27 , 279 ," 2,599 ", 266 ," 2,195 ", 138 
,,,164.2,1.7,34.3,11.3,116.9,"1,088.7",111.4,919.5,57.8
"Asheville, NC M.S.A.3",,"463,796", ,,,,, ,,,
,,,,,,,,,,,
,,"93,641", 695 , 6 , 59 , 163 , 467 ," 5,923 ", 833 ," 4,552 ", 538 
,,76.8%," 1,221 ", 12 , 116 , 215 , 878 ," 11,093 "," 2,373 "," 7,709 "," 1,011 "
,,100.0%," 1,466 ", 15 , 144 , 241 ," 1,066 "," 12,815 "," 2,898 "," 8,760 "," 1,157 "
,,,316.1,3.2,31.0,52.0,229.8,"2,763.1",624.8,"1,888.8",249.5
"Atlantic City-Hammonton, NJ M.S.A.",,"263,100", ,,,,, ,,,
,,,,,,,,,,,
,,"37,593", 323 , 11 , 29 , 182 , 101 ," 1,738 ", 130 ," 1,519 ", 89 
,,"14,003", 25 , 0 , 1 , 4 , 20 , 115 , 25 , 78 , 12 
,,100.0%, 672 , 13 , 49 , 272 , 338 ," 6,314 ", 857 ," 5,174 ", 283 
,,,255.4,4.9,18.6,103.4,128.5,"2,399.8",325.7,"1,966.6",107.6
"Augusta-Richmond County, GA-SC M.S.A.3",,"609,036", ,,,,, ,,,
,,,,,,,,,,,
,,96.5%," 2,085 ", 47 , 177 , 404 ," 1,457 "," 14,629 "," 2,456 "," 10,994 "," 1,179 "
,,100.0%," 2,199 ", 49 , 186 , 411 ," 1,553 "," 15,097 "," 2,580 "," 11,292 "," 1,225 "
,,,361.1,8.0,30.5,67.5,255.0,"2,478.8",423.6,"1,854.1",201.1
"Austin-Round Rock-Georgetown, TX M.S.A.3",,"2,217,312",,,,,,,,,
,,, ,,,,,,,,
,,"986,062"," 3,953 ", 32 , 534 , 971 ," 2,416 "," 36,588 "," 4,344 "," 29,216 "," 3,028 "
,,"132,747", 165 , 3 , 21 , 51 , 90 ," 2,235 ", 165 ," 2,017 ", 53 
,,"78,332", 81 , 0 , 25 , 8 , 48 , 730 , 103 , 586 , 41 
,,"66,279", 241 , 8 , 78 , 26 , 129 ," 1,530 ", 228 ," 1,176 ", 126 
,,99.9%," 6,359 ", 56 ," 1,071 "," 1,261 "," 3,971 "," 53,424 "," 6,954 "," 42,248 "," 4,222 "
,,100.0%," 6,361 ", 56 ," 1,071 "," 1,261 "," 3,973 "," 53,442 "," 6,958 "," 42,260 "," 4,224 "
,,,286.9,2.5,48.3,56.9,179.2,"2,410.2",313.8,"1,905.9",190.5
"Bakersfield, CA M.S.A.",,"896,356", ,,,,, ,,,
,,,,,,,,,,,
,,"388,080"," 1,766 ", 34 , 116 , 701 , 915 ," 16,074 "," 3,888 "," 9,277 "," 2,909 "
,,100.0%," 5,567 ", 84 , 455 ," 1,238 "," 3,790 "," 29,604 "," 7,595 "," 16,126 "," 5,883 "
,,,621.1,9.4,50.8,138.1,422.8,"3,302.7",847.3,"1,799.1",656.3
"Baltimore-Columbia-Towson, MD M.S.A.",,"2,800,231",,,,,,,,,
,,,,,,,,,,,
,,"597,239"," 11,101 ", 348 , 324 ," 4,856 "," 5,573 "," 25,748 "," 5,414 "," 16,395 "," 3,939 "
,,100.0%," 19,564 ", 434 ," 1,025 "," 6,797 "," 11,308 "," 66,044 "," 10,213 "," 49,114 "," 6,717 "
,,,698.7,15.5,36.6,242.7,403.8,"2,358.5",364.7,"1,753.9",239.9
"Bangor, ME M.S.A.",,"151,245", ,,,,, ,,,
,,,,,,,,,,,
,,"31,872", 35 , 1 , 1 , 15 , 18 ," 1,168 ", 64 ," 1,076 ", 28 
,,100.0%, 67 , 1 , 7 , 20 , 39 ," 2,355 ", 221 ," 2,060 ", 74 
,,,44.3,0.7,4.6,13.2,25.8,"1,557.1",146.1,"1,362.0",48.9
"Barnstable Town, MA M.S.A.",,"211,470", ,,,,, ,,,
,,,,,,,,,,,
,,"44,032", 178 , 2 , 22 , 14 , 140 , 425 , 61 , 350 , 14 
,,100.0%, 691 , 2 , 113 , 29 , 547 ," 2,017 ", 401 ," 1,542 ", 74 
,,,326.8,0.9,53.4,13.7,258.7,953.8,189.6,729.2,35.0
"Baton Rouge, LA M.S.A.",,"852,152", ,,,,, ,,,
,,,,,,,,,,,
,,"220,648"," 2,066 ", 70 , 52 , 645 ," 1,299 "," 11,673 "," 2,258 "," 8,616 ", 799 
,,98.8%," 4,679 ", 120 , 240 , 912 ," 3,407 "," 27,976 "," 4,599 "," 21,713 "," 1,664 "
,,100.0%," 4,721 ", 120 , 241 , 915 ," 3,445 "," 28,266 "," 4,661 "," 21,926 "," 1,679 "
,,,554.0,14.1,28.3,107.4,404.3,"3,317.0",547.0,"2,573.0",197.0
"Battle Creek, MI M.S.A.4",,"133,965", ,,,,, ,,,
,,,,,,,,,,,
,,"60,607", 568 , 5 , 60 , 67 , 436 ," 1,969 ", 460 ," 1,377 ", 132 
,,99.9%, 836 , 6 , 108 , 91 , 631 ,,," 2,733 ", 227 
,,100.0%, 836 , 6 , 108 , 91 , 631 ,,," 2,733 ", 227 
,,,624.0,4.5,80.6,67.9,471.0,,,"2,040.1",169.4
"Bay City, MI M.S.A.",,"103,201", ,,,,, ,,,
,,,,,,,,,,,
,,"32,793", 271 , 2 , 35 , 20 , 214 , 654 , 135 , 476 , 43 
,,100.0%, 396 , 3 , 78 , 29 , 286 ," 1,295 ", 266 , 944 , 85 
,,,383.7,2.9,75.6,28.1,277.1,"1,254.8",257.7,914.7,82.4
"Beaumont-Port Arthur, TX M.S.A.3",,"394,118",,,,,,,,,
,,, ,,,,,,,,
,,"118,562"," 1,241 ", 19 , 97 , 323 , 802 ," 4,287 ", 950 ," 2,999 ", 338 
,,"55,084", 344 , 9 , 29 , 84 , 222 ," 1,203 ", 326 , 757 , 120 
,,99.9%," 2,132 ", 34 , 186 , 465 ," 1,447 "," 8,637 "," 2,006 "," 5,794 ", 837 
,,100.0%," 2,133 ", 34 , 186 , 465 ," 1,448 "," 8,644 "," 2,007 "," 5,799 ", 838 
,,,541.2,8.6,47.2,118.0,367.4,"2,193.3",509.2,"1,471.4",212.6
"Bellingham, WA M.S.A",,"228,098", ,,,,, ,,,
,,,,,,,,,,,
,,"91,906", 251 , 4 , 28 , 61 , 158 ," 2,689 ", 323 ," 2,251 ", 115 
,,100.0%, 502 , 9 , 100 , 78 , 315 ," 4,792 ", 821 ," 3,744 ", 227 
,,,220.1,3.9,43.8,34.2,138.1,"2,100.9",359.9,"1,641.4",99.5
"Bend, OR M.S.A.",,"195,856", ,,,,, ,,,
,,,,,,,,,,,
,,"100,588", 154 , 0 , 30 , 21 , 103 ," 1,919 ", 135 ," 1,678 ", 106 
,,100.0%, 324 , 1 , 57 , 31 , 235 ," 3,763 ", 341 ," 3,169 ", 253 
,,,165.4,0.5,29.1,15.8,120.0,"1,921.3",174.1,"1,618.0",129.2
"Billings, MT M.S.A.4",,"181,514", ,,,,, ,,,
,,,,,,,,,,,
,,"110,198",,, 75 , 98 , 499 ," 4,499 ", 608 ," 3,266 ", 625 
,,100.0%,,, 103 , 106 , 679 ," 5,468 ", 721 ," 4,008 ", 739 
,,,,,56.7,58.4,374.1,"3,012.4",397.2,"2,208.1",407.1
"Binghamton, NY M.S.A.",,"237,535", ,,,,, ,,,
,,,,,,,,,,,
,,"44,475", 355 , 2 , 42 , 66 , 245 ," 1,907 ", 417 ," 1,429 ", 61 
,,99.4%, 678 , 6 , 171 , 108 , 393 ," 4,762 ", 801 ," 3,809 ", 152 
,,100.0%, 678 , 6 , 171 , 108 , 393 ," 4,773 ", 802 ," 3,819 ", 152 
,,,285.4,2.5,72.0,45.5,165.4,"2,009.4",337.6,"1,607.8",64.0
"Bismarck, ND M.S.A.",,"128,869", ,,,,, ,,,
,,,,,,,,,,,
,,"74,705", 228 , 1 , 64 , 36 , 127 ," 2,079 ", 225 ," 1,647 ", 207 
,,100.0%, 394 , 5 , 104 , 44 , 241 ," 2,983 ", 340 ," 2,295 ", 348 
,,,305.7,3.9,80.7,34.1,187.0,"2,314.8",263.8,"1,780.9",270.0
"Blacksburg-Christiansburg, VA M.S.A.",,"167,936",,,,,,,,,
,,,,,,,,,,,
,,"44,948", 50 , 0 , 26 , 1 , 23 , 275 , 38 , 228 , 9 
,,"22,700", 31 , 0 , 7 , 4 , 20 , 466 , 28 , 424 , 14 
,,100.0%, 323 , 2 , 106 , 20 , 195 ," 2,781 ", 332 ," 2,311 ", 138 
,,,192.3,1.2,63.1,11.9,116.1,"1,656.0",197.7,"1,376.1",82.2
"Bloomington, IL M.S.A.",,"172,429",,,,,,,,,
,,, ,,,,,,,,
,,"78,107", 387 , 1 , 49 , 57 , 280 ," 1,096 ", 171 , 851 , 74 
,,97.1%, 601 , 3 , 115 , 82 , 401 ," 2,312 ", 324 ," 1,851 ", 137 
,,100.0%, 610 , 3 , 117 , 83 , 407 ," 2,385 ", 334 ," 1,909 ", 142 
,,,353.8,1.7,67.9,48.1,236.0,"1,383.2",193.7,"1,107.1",82.4
"Boise City, ID M.S.A.",,"749,238",,,,,,,,,
,,, ,,,,,,,,
,,"231,314", 649 , 4 , 164 , 44 , 437 ," 3,653 ", 470 ," 2,952 ", 231 
,,99.6%," 1,874 ", 10 , 436 , 83 ," 1,345 "," 9,275 "," 1,507 "," 7,063 ", 705 
,,100.0%," 1,880 ", 10 , 437 , 83 ," 1,350 "," 9,310 "," 1,513 "," 7,089 ", 708 
,,,250.9,1.3,58.3,11.1,180.2,"1,242.6",201.9,946.2,94.5
"Boston-Cambridge-Newton, MA-NH M.S.A.3, 5",,"4,880,689",,,,,,,,,
,,,,,,,,,,,
,,"698,941"," 4,244 ", 42 , 231 ," 1,039 "," 2,932 ",," 1,703 "," 10,590 ",
,,"119,908", 334 , 1 , 26 , 67 , 240 ," 1,983 ", 161 ," 1,724 ", 98 
,,"88,658", 49 , 0 , 4 , 10 , 35 , 510 , 75 , 424 , 11 
,,"73,127", 297 , 1 , 20 , 29 , 247 , 800 , 158 , 609 , 33 
,,"62,737", 102 , 0 , 13 , 7 , 82 , 512 , 70 , 420 , 22 
,,98.8%," 13,450 ", 93 ," 1,253 "," 2,328 "," 9,776 ",," 6,767 "," 43,000 ",
,,100.0%," 13,556 ", 93 ," 1,270 "," 2,333 "," 9,860 ",," 6,840 "," 43,333 ",
,,,277.7,1.9,26.0,47.8,202.0,,140.1,887.8,
"Boston, MA M.D.3, 5",,"2,032,861",,,,,,,,,
,,,,,,,,,,,
,,98.7%," 8,008 ", 61 , 625 ," 1,595 "," 5,727 ",," 3,351 "," 21,175 ",
,,100.0%," 8,057 ", 61 , 633 ," 1,598 "," 5,765 ",," 3,384 "," 21,322 ",
,,,396.3,3.0,31.1,78.6,283.6,,166.5,"1,048.9",
"Cambridge-Newton-Framingham, MA M.D.3",,"2,406,489",,,,,,,,,
,,,,,,,,,,,
,,98.6%," 5,008 ", 27 , 485 , 680 ," 3,816 "," 22,303 "," 2,934 "," 17,780 "," 1,589 "
,,100.0%," 5,065 ", 27 , 494 , 682 ," 3,862 "," 22,543 "," 2,974 "," 17,966 "," 1,603 "
,,,210.5,1.1,20.5,28.3,160.5,936.8,123.6,746.6,66.6
"Rockingham County-Strafford County, NH M.D.",,"441,339",,,,,,,,,
,,,,,,,,,,,
,,100.0%, 434 , 5 , 143 , 53 , 233 ," 4,770 ", 482 ," 4,045 ", 243 
,,,98.3,1.1,32.4,12.0,52.8,"1,080.8",109.2,916.5,55.1
"Boulder, CO M.S.A.",,"328,673", ,,,,, ,,,
,,,,,,,,,,,
,,"108,519", 278 , 1 , 41 , 37 , 199 ," 3,284 ", 405 ," 2,628 ", 251 
,,100.0%, 895 , 3 , 224 , 83 , 585 ," 8,038 ", 999 ," 6,341 ", 698 
,,,272.3,0.9,68.2,25.3,178.0,"2,445.6",303.9,"1,929.3",212.4
"Bowling Green, KY M.S.A.",,"179,183", ,,,,, ,,,
,,,,,,,,,,,
,,"69,627", 203 , 4 , 63 , 55 , 81 ," 3,250 ", 386 ," 2,610 ", 254 
,,100.0%, 275 , 6 , 85 , 62 , 122 ," 4,188 ", 645 ," 3,184 ", 359 
,,,153.5,3.3,47.4,34.6,68.1,"2,337.3",360.0,"1,777.0",200.4
"Bremerton-Silverdale-Port Orchard, WA M.S.A.",,"271,215",,,,,,,,,
,,, ,,,,,,,,
,,"41,675", 168 , 1 , 26 , 34 , 107 ," 1,358 ", 234 , 984 , 140 
,,"14,684", 66 , 0 , 7 , 14 , 45 , 492 , 74 , 376 , 42 
,,100.0%, 709 , 4 , 157 , 81 , 467 ," 5,392 ", 989 ," 3,944 ", 459 
,,,261.4,1.5,57.9,29.9,172.2,"1,988.1",364.7,"1,454.2",169.2
"Bridgeport-Stamford-Norwalk, CT M.S.A.",,"929,479",,,,,,,,,
,,,,,,,,,,,
,,"144,908", 843 , 17 , 71 , 392 , 363 ," 2,465 ", 555 ," 1,292 ", 618 
,,"130,678", 264 , 5 , 27 , 87 , 145 ," 1,803 ", 196 ," 1,446 ", 161 
,,"89,440", 183 , 1 , 8 , 29 , 145 ," 1,247 ", 133 , 989 , 125 
,,"85,167", 97 , 1 , 15 , 28 , 53 ," 1,045 ", 132 , 827 , 86 
,,"52,034", 71 , 1 , 13 , 25 , 32 , 859 , 97 , 654 , 108 
,,100.0%," 1,619 ", 28 , 162 , 609 , 820 ," 11,232 "," 1,542 "," 8,325 "," 1,365 "
,,,174.2,3.0,17.4,65.5,88.2,"1,208.4",165.9,895.7,146.9
"Brownsville-Harlingen, TX M.S.A.3",,"423,309",,,,,,,,,
,,, ,,,,,,,,
,,"184,418", 776 , 0 , 82 , 143 , 551 ," 4,553 ", 631 ," 3,801 ", 121 
,,"65,481", 273 , 0 , 54 , 54 , 165 ," 3,152 ", 443 ," 2,613 ", 96 
,,100.0%," 1,588 ", 4 , 233 , 236 ," 1,115 "," 10,705 "," 1,670 "," 8,682 ", 353 
,,,375.1,0.9,55.0,55.8,263.4,"2,528.9",394.5,"2,051.0",83.4
"Buffalo-Cheektowaga, NY M.S.A.",,"1,123,277",,,,,,,,,
,,,,,,,,,,,
,,"255,686"," 2,533 ", 47 , 121 , 802 ," 1,563 "," 8,298 "," 1,610 "," 6,009 ", 679 
,,"76,821", 187 , 2 , 15 , 57 , 113 ," 2,153 ", 208 ," 1,856 ", 89 
,,98.2%," 3,962 ", 60 , 329 ," 1,130 "," 2,443 "," 20,762 "," 3,051 "," 16,504 "," 1,207 "
,,100.0%," 3,980 ", 60 , 332 ," 1,133 "," 2,455 "," 20,987 "," 3,073 "," 16,699 "," 1,215 "
,,,354.3,5.3,29.6,100.9,218.6,"1,868.4",273.6,"1,486.6",108.2
"Burlington, NC M.S.A.3",,"168,317", ,,,,, ,,,
,,,,,,,,,,,
,,"54,108", 460 , 10 , 42 , 66 , 342 ," 2,490 ", 534 ," 1,815 ", 141 
,,91.0%, 631 , 13 , 60 , 88 , 470 ," 3,926 ", 895 ," 2,804 ", 227 
,,100.0%, 686 , 14 , 66 , 98 , 508 ," 4,443 ", 993 ," 3,196 ", 254 
,,,407.6,8.3,39.2,58.2,301.8,"2,639.7",590.0,"1,898.8",150.9
"Burlington-South Burlington, VT M.S.A.",,"221,448",,,,,,,,,
,,, ,,,,, ,,,
,,"42,958", 174 , 2 , 41 , 13 , 118 ," 1,110 ", 109 , 976 , 25 
,,"19,687", 22 , 0 , 6 , 4 , 12 , 687 , 32 , 647 , 8 
,,100.0%, 444 , 5 , 114 , 32 , 293 ," 3,786 ", 406 ," 3,284 ", 96 
,,,200.5,2.3,51.5,14.5,132.3,"1,709.7",183.3,"1,483.0",43.4
"California-Lexington Park, MD M.S.A.",,"112,993",,,,,,,,,
,,, ,,,,,,,,
,,100.0%, 231 , 1 , 29 , 46 , 155 ," 1,880 ", 333 ," 1,476 ", 71 
,,,204.4,0.9,25.7,40.7,137.2,"1,663.8",294.7,"1,306.3",62.8
"Canton-Massillon, OH M.S.A.",,"397,244",,,,,,,,,
,,, ,,,,,,,,
,,"70,139", 981 , 6 , 135 , 188 , 652 ," 3,712 ", 962 ," 2,429 ", 321 
,,"32,433", 72 , 1 , 26 , 14 , 31 , 743 , 116 , 610 , 17 
,,96.9%," 1,328 ", 9 , 239 , 236 , 844 ," 8,608 "," 1,918 "," 6,128 ", 562 
,,100.0%," 1,345 ", 9 , 242 , 239 , 855 ," 8,832 "," 1,946 "," 6,313 ", 573 
,,,338.6,2.3,60.9,60.2,215.2,"2,223.3",489.9,"1,589.2",144.2
"Cape Coral-Fort Myers, FL M.S.A.",,"767,771",,,,,,,,,
,,, ,,,,,,,,
,,"194,183", 226 , 5 , 16 , 36 , 169 ," 2,176 ", 274 ," 1,739 ", 163 
,,"85,127", 486 , 9 , 34 , 94 , 349 ," 1,952 ", 245 ," 1,553 ", 154 
,,100.0%," 1,979 ", 23 , 246 , 386 ," 1,324 "," 8,890 "," 1,343 "," 6,792 ", 755 
,,,257.8,3.0,32.0,50.3,172.4,"1,157.9",174.9,884.6,98.3
"Cape Girardeau, MO-IL M.S.A.",,"96,976",,,,,,,,,
,,, ,,,,,,,,
,,"40,077", 233 , 6 , 24 , 46 , 157 ," 1,432 ", 215 ," 1,145 ", 72 
,,97.8%, 370 , 7 , 32 , 46 , 285 ," 2,027 ", 378 ," 1,540 ", 109 
,,100.0%, 373 , 7 , 33 , 46 , 287 ," 2,060 ", 383 ," 1,566 ", 111 
,,,384.6,7.2,34.0,47.4,295.9,"2,124.2",394.9,"1,614.8",114.5
"Carson City, NV M.S.A.",,"55,491", ,,,,, ,,,
,,,,,,,,,,,
,,100.0%, 193 , 0 , 47 , 11 , 135 , 711 , 152 , 487 , 72 
,,,347.8,0.0,84.7,19.8,243.3,"1,281.3",273.9,877.6,129.8
"Casper, WY M.S.A.",,"79,489", ,,,,, ,,,
,,,,,,,,,,,
,,"57,752", 169 , 2 , 58 , 18 , 91 ," 1,677 ", 285 ," 1,271 ", 121 
,,100.0%, 227 , 2 , 68 , 25 , 132 ," 1,966 ", 370 ," 1,441 ", 155 
,,,285.6,2.5,85.5,31.5,166.1,"2,473.3",465.5,"1,812.8",195.0
"Cedar Rapids, IA M.S.A.",,"272,728", ,,,,, ,,,
,,,,,,,,,,,
,,"134,007", 345 , 2 , 27 , 83 , 233 ," 4,470 ", 837 ," 3,268 ", 365 
,,99.1%, 505 , 2 , 56 , 89 , 358 ," 5,498 "," 1,077 "," 3,947 ", 474 
,,100.0%, 514 , 2 , 57 , 90 , 365 ," 5,566 "," 1,091 "," 3,994 ", 481 
,,,188.5,0.7,20.9,33.0,133.8,"2,040.9",400.0,"1,464.5",176.4
"Champaign-Urbana, IL M.S.A.",,"226,393",,,,,,,,,
,,, ,,,,,,,,
,,"88,891", 827 , 2 , 73 , 94 , 658 ," 2,203 ", 300 ," 1,777 ", 126 
,,"42,080", 124 , 1 , 30 , 36 , 57 ," 1,090 ", 161 , 890 , 39 
,,99.2%," 1,098 ", 3 , 158 , 156 , 781 ," 4,482 ", 735 ," 3,533 ", 214 
,,100.0%," 1,099 ", 3 , 158 , 156 , 782 ," 4,507 ", 739 ," 3,553 ", 215 
,,,485.4,1.3,69.8,68.9,345.4,"1,990.8",326.4,"1,569.4",95.0
"Charleston-North Charleston, SC M.S.A.",,"804,618", ,,,,, ,,,
,,,,,,,,,,,
,,"138,254", 516 , 8 , 51 , 95 , 362 ," 3,124 ", 292 ," 2,335 ", 497 
,,"115,312"," 1,114 ", 26 , 103 , 229 , 756 ," 6,941 ", 853 ," 5,123 ", 965 
,,99.0%," 3,148 ", 72 , 328 , 497 ," 2,251 "," 21,218 "," 3,031 "," 15,573 "," 2,614 "
,,100.0%," 3,202 ", 72 , 333 , 502 ," 2,295 "," 21,554 "," 3,084 "," 15,835 "," 2,635 "
,,,398.0,8.9,41.4,62.4,285.2,"2,678.8",383.3,"1,968.0",327.5
"Charlottesville, VA M.S.A.",,"219,120", ,,,,, ,,,
,,,,,,,,,,,
,,"48,453", 157 , 0 , 32 , 22 , 103 ," 1,124 ", 122 , 924 , 78 
,,100.0%, 385 , 5 , 102 , 38 , 240 ," 3,104 ", 314 ," 2,617 ", 173 
,,,175.7,2.3,46.5,17.3,109.5,"1,416.6",143.3,"1,194.3",79.0
"Chattanooga, TN-GA M.S.A.3",,"564,924", ,,,,, ,,,
,,,,,,,,,,,
,,"181,848"," 1,946 ", 33 , 161 , 196 ," 1,556 "," 10,106 "," 1,098 "," 7,694 "," 1,314 "
,,97.1%," 2,914 ", 36 , 237 , 250 ," 2,391 "," 16,071 "," 2,098 "," 12,059 "," 1,914 "
,,100.0%," 2,969 ", 36 , 242 , 255 ," 2,436 "," 16,332 "," 2,150 "," 12,244 "," 1,938 "
,,,525.6,6.4,42.8,45.1,431.2,"2,891.0",380.6,"2,167.4",343.1
"Chico, CA M.S.A.",,"230,749", ,,,,, ,,,
,,,,,,,,,,,
,,"95,826", 557 , 0 , 100 , 104 , 353 ," 2,406 ", 272 ," 1,753 ", 381 
,,100.0%," 1,024 ", 7 , 180 , 167 , 670 ," 5,322 "," 1,111 "," 3,343 ", 868 
,,,443.8,3.0,78.0,72.4,290.4,"2,306.4",481.5,"1,448.8",376.2
"Cincinnati, OH-KY-IN M.S.A.",,"2,217,647",,,,,,,,,
,,,,,,,,,,,
,,"303,335"," 2,562 ", 64 , 280 , 872 ," 1,346 "," 13,051 "," 2,765 "," 8,935 "," 1,351 "
